species	origin	irr	gap.pos	transect	obs	photo	cond	trmmol	WUE
POTR	s	50	SE	A2-9	6	1.156201659	0.20115375	1.490774933	0.13493234
POTR	s	1200	SE	A2-9	1	10.81873389	0.210765536	1.685496406	0.125046565
POTR	s	1200	SE	A2-9	2	13.2729113	0.277112321	1.578974993	0.1755014
POTR	s	1200	SE	A2-9	3	14.29097043	0.29608506	1.892039283	0.156489911
POTR	s	1200	SE	A2-9	4	13.89699014	0.266980734	1.950679761	0.136865486
POTR	s	1200	SE	A2-9	5	15.69899671	0.237850721	1.867369444	0.127372075
POTR	s	1200	SE	A2-9	6	14.86633224	0.220426431	1.845313624	0.119452015
POTR	s	50	 NE	B3-6	2	9.111975917	0.232531136	2.456873191	0.094645152
POTR	s	50	 NE	B3-6	3	5.990658639	0.22693895	2.096100587	0.108267204
POTR	s	50	 NE	B3-6	5	4.526886213	0.24850346	1.941557339	0.127991821
POTR	s	50	 NE	B3-6	6	4.708962071	0.265120201	2.178614351	0.121692121
POTR	s	1200	 NE	B3-6	1	17.83632069	0.2843734	2.517633355	0.112952666
POTR	s	1200	 NE	B3-6	2	21.14544023	0.293362562	2.707782547	0.108340517
POTR	s	1200	 NE	B3-6	3	22.18181341	0.284930378	2.731165611	0.104325559
POTR	s	1200	 NE	B3-6	4	22.8939378	0.348691078	3.181817108	0.109588662
POTR	s	1200	 NE	B3-6	5	22.89797927	0.334516074	2.989177131	0.111909084
POTR	s	1200	 NE	B3-6	6	22.53265976	0.342362501	3.150678091	0.108663117
POTR	s	50	C	B3-6	1	4.314155674	0.19106426	2.093831761	0.091251009
POTR	s	50	C	B3-6	2	2.544718558	0.153973801	1.960801063	0.078525968
POTR	s	50	C	B3-6	3	1.429906186	0.172467457	2.29931464	0.075008202
POTR	s	50	C	B3-6	4	0.891968729	0.190060581	2.680723928	0.070898976
POTR	s	50	C	B3-6	5	0.463989576	0.203639241	2.782146071	0.073195021
POTR	s	50	C	B3-6	6	1.001329859	0.207594033	2.495953452	0.083172237
